;snmae;dnmae;z;sname;dname;z
5087;Susan B. Coombs Intermediate;Banning Unified;0.6610055562;Charles Bursch ;Baldwin Park Unified;0.2817170065
7235;Banta ;Banta ;-0.0634400632;Central ;Baldwin Park Unified;-2.7663642784
5933;Cameron ;Barstow Unified;0.2148857463;Elwin ;Baldwin Park Unified;-15.6950050585
5935;Henderson ;Barstow Unified;0.6632796586;Foster ;Baldwin Park Unified;-2.6155960648
5936;Hinkley /Middle;Barstow Unified;1.7590461777;Ernest R. Geddes ;Baldwin Park Unified;1.5723477345
5937;Lenwood ;Barstow Unified;0.1565397892;Kenmore ;Baldwin Park Unified;1.4952193866
5938;Montara ;Barstow Unified;-0.0539197961;Margaret Heath ;Baldwin Park Unified;1.5113562592
5939;Skyline North ;Barstow Unified;-0.4379918039;Tracy ;Baldwin Park Unified;0.2645241047
3809;Oakhurst ;Bass Lake Joint Union Elementa;1.2483312266;Vineland ;Baldwin Park Unified;-0.9420579994
3810;Wasuma ;Bass Lake Joint Union Elementa;0.6962976758;Walnut ;Baldwin Park Unified;0.2306171764
1841;Sunkist ;Bassett Unified;-2.0903258166;Santa Fe ;Baldwin Park Unified;-1.178418527
1842;Edgewood Academy;Bassett Unified;-1.5624464533;Ballico ;Ballico-Cressey ;0.7253695022
5946;North Shore ;Bear Valley Unified;3.8133448171;Central ;Banning Unified;-1.3790905753
5947;Big Bear ;Bear Valley Unified;1.6316324286;Hemmerling ;Banning Unified;-0.1928767667
5948;Baldwin Lane ;Bear Valley Unified;0.5976356819;River Islands Technology Academy;Banta ;-0.5981067279
1378;San Lauren ;Beardsley ;-0.5066518866;Banta ;Banta ;1.2238968767
5090;Sundance ;Beaumont Unified;-1.6917514553;Cameron ;Barstow Unified;0.8767997095
5091;Brookside ;Beaumont Unified;-1.3572423294;Henderson ;Barstow Unified;-0.1836984801
5093;Tournament Hills ;Beaumont Unified;-0.7744107886;Montara ;Barstow Unified;0.2164493637
5094;Anna Hause ;Beaumont Unified;-1.2242264814;Skyline North ;Barstow Unified;2.3272387368
5096;Three Rings Ranch ;Beaumont Unified;-0.8356721057;Oakhurst ;Bass Lake Joint Union ;-1.0404230733
5098;Palm ;Beaumont Unified;-0.3330367043;Wasuma ;Bass Lake Joint Union ;-0.4231440651
8273;Bella Vista ;Bella Vista ;-1.8762418692;Edgewood Academy;Bassett Unified;-1.1319813337
9164;Belleview ;Belleview ;0.9798819777;North Shore ;Bear Valley Unified;-0.6680857017
8546;Taylor Mountain ;Bellevue Union ;-1.0291835168;Big Bear ;Bear Valley Unified;0.5618215727
8547;Bellevue ;Bellevue Union ;-1.0739926382;Baldwin Lane ;Bear Valley Unified;-1.0047983698
8549;Meadow View ;Bellevue Union ;1.187554157;San Lauren ;Beardsley ;0.1354135156
1847;Albert Baxter ;Bellflower Unified;-3.3545106006;Sundance ;Beaumont Unified;0.895322999
1848;Intensive Learning Center;Bellflower Unified;0.1366855434;Brookside ;Beaumont Unified;0.8550828074
1849;Ernie Pyle ;Bellflower Unified;-1.3547175792;Tournament Hills ;Beaumont Unified;0.2539419313
1850;Esther Lindstrom ;Bellflower Unified;-3.1455456626;Anna Hause ;Beaumont Unified;0.3077581082
1851;Frank E. Woodruff ;Bellflower Unified;-1.9309032535;Highland Academy;Beaumont Unified;-3.5568115986
1852;Craig Williams ;Bellflower Unified;-2.8683900149;Three Rings Ranch ;Beaumont Unified;-0.7358433903
1853;Ramona ;Bellflower Unified;-2.2173190942;Palm ;Beaumont Unified;-1.7376278271
1854;Stephen Foster ;Bellflower Unified;-1.3390110787;Bella Vista ;Bella Vista ;-0.8886460866
1855;Thomas Jefferson ;Bellflower Unified;-1.3152046806;Belleview ;Belleview ;0.9185180678
1856;Washington ;Bellflower Unified;0.625149847;Taylor Mountain ;Bellevue Union ;-1.2270449423
7528;Nesbit ;Belmont-Redwood Shores Element;-0.9465341308;Bellevue ;Bellevue Union ;-0.191491864
7530;Sandpiper ;Belmont-Redwood Shores Element;-0.1879172966;Meadow View ;Bellevue Union ;-0.1238672817
8412;Mary Farmar ;Benicia Unified;2.0079785389;Las Flores Home Education Independent Study Academ;Bellflower Unified;-0.2110953314
8413;Robert Semple ;Benicia Unified;1.9644224907;Albert Baxter ;Bellflower Unified;1.8416785565
8414;Joe Henderson ;Benicia Unified;0.3472861044;Intensive Learning Center;Bellflower Unified;0.5637664661
8415;Matthew Turner ;Benicia Unified;-0.2849164529;Ernie Pyle ;Bellflower Unified;-0.5877465221
8551;Yulupa ;Bennett Valley Union Elementar;-0.4369869082;Esther Lindstrom ;Bellflower Unified;-0.3559964541
8552;Strawberry ;Bennett Valley Union Elementar;1.1981343859;Frank E. Woodruff ;Bellflower Unified;-1.6178624933
43;Rosa Parks Environmental Science Magnet;Berkeley Unified;1.7739999578;Craig Williams ;Bellflower Unified;-0.9343153533
44;Cragmont ;Berkeley Unified;3.6032024641;Ramona ;Bellflower Unified;-0.0636829401
45;Emerson ;Berkeley Unified;4.4038573754;Stephen Foster ;Bellflower Unified;-0.5717430737
46;Jefferson ;Berkeley Unified;-0.1400756473;Thomas Jefferson ;Bellflower Unified;-1.3282423639
47;Leconte ;Berkeley Unified;1.8399466804;Washington ;Bellflower Unified;-2.0384699897
48;Malcolm X ;Berkeley Unified;2.5201115341;Nesbit ;Belmont-Redwood Shores ;0.6179817761
50;Oxford ;Berkeley Unified;2.6517208928;Mary Farmar ;Benicia Unified;-0.1194713705
51;Thousand Oaks ;Berkeley Unified;1.187721156;Robert Semple ;Benicia Unified;0.3017469515
52;Washington ;Berkeley Unified;3.257192756;Joe Henderson ;Benicia Unified;1.2675343501
53;Berkeley Arts Magnet at Whittier;Berkeley Unified;1.4148544087;Matthew Turner ;Benicia Unified;2.1150058356
54;John Muir ;Berkeley Unified;0.8662676923;Yulupa ;Bennett Valley Union ;3.850290643
7861;Laneview ;Berryessa Union ;-1.1484482963;Strawberry ;Bennett Valley Union ;1.7101410187
7862;Noble ;Berryessa Union ;-0.9896840599;Rosa Parks Environmental Science Magnet;Berkeley Unified;1.5622534378
7863;Northwood ;Berryessa Union ;-1.3298690453;Cragmont ;Berkeley Unified;3.9793884371
7865;Toyon ;Berryessa Union ;0.570336969;Emerson ;Berkeley Unified;3.7595636771
7866;Ruskin ;Berryessa Union ;0.4470879671;Jefferson ;Berkeley Unified;4.5719928122
7868;Cherrywood ;Berryessa Union ;-1.0892951029;Leconte ;Berkeley Unified;2.4111263711
7870;Vinci Park ;Berryessa Union ;0.8461540668;Malcolm X ;Berkeley Unified;5.7225466317
7871;Brooktree ;Berryessa Union ;-0.7049273653;Oxford ;Berkeley Unified;4.0208702692
7872;Majestic Way ;Berryessa Union ;1.0594891443;Thousand Oaks ;Berkeley Unified;4.7988350911
7873;Summerdale ;Berryessa Union ;-0.4664348859;Washington ;Berkeley Unified;7.7344683531
1859;Beverly Vista ;Beverly Hills Unified;0.1182314324;Berkeley Arts Magnet at Whittier;Berkeley Unified;3.3402881734
1860;El Rodeo ;Beverly Hills Unified;-0.0725840087;John Muir ;Berkeley Unified;3.045365581
1861;Hawthorne ;Beverly Hills Unified;-1.7533882023;Laneview ;Berryessa Union ;0.0031480859
1862;Horace Mann ;Beverly Hills Unified;-1.9019220075;Noble ;Berryessa Union ;1.816733765
9190;Tenaya ;Big Oak Flat-Groveland Unified;2.0417294233;Northwood ;Berryessa Union ;1.5012026396
