;snmae;dnmae;z;sname;dname;z
3723;Jellick ;Rowland Unified;0.7720564159;Tulita ;Redondo Beach Unified;1.1132653827
3724;Killian ;Rowland Unified;0.1019528984;Washington ;Redondo Beach Unified;2.176742404
3726;Rorimer ;Rowland Unified;-2.083313817;Connect Community Charter;Redwood City ;2.4382228556
3727;Rowland ;Rowland Unified;-0.2401103159;Clifford ;Redwood City ;3.362260964
3728;Shelyn ;Rowland Unified;1.3604094403;Roy Cloud ;Redwood City ;3.4032408712
3730;Ybarra Academy for the Arts and Technolo;Rowland Unified;-1.2221233428;Fair Oaks ;Redwood City ;-2.880485627
3731;Yorbita ;Rowland Unified;-0.7625716281;Garfield ;Redwood City ;-5.2499612756
3732;Stanley G. Oswalt Academy;Rowland Unified;0.1524234443;Hawes ;Redwood City ;-2.3999399448
787;Aspire Port City Academy;SBC - Aspire Public Schools;0.0993909867;Henry Ford ;Redwood City ;0.4857615814
789;Aspire Alexander Twilight College Prepar;SBC - Aspire Public Schools;-2.4185008953;Hoover ;Redwood City ;-2.8758068244
792;Aspire APEX Academy;SBC - Aspire Public Schools;-0.1306307265;Roosevelt ;Redwood City ;0.7673265326
7115;High Tech  Chula Vista;SBC - High Tech High;-0.6306353578;Selby Lane ;Redwood City ;-0.0440732499
8498;Dixon Montessori Charter;SBE - Dixon Montessori Charter;-0.9399447061;Taft ;Redwood City ;-3.0103700095
3800;Ingenium Charter;SBE - Ingenium Charter;-0.4665044503;Orion Alternative;Redwood City ;3.5938878304
346;Livermore Valley Charter;SBE - Livermore Valley Charter;-1.3094024296;Adelante Spanish Immersion;Redwood City ;3.0253506325
1607;Ridgecrest Charter;SBE - Ridgecrest Charter;-3.1580316509;North Star Academy;Redwood City ;1.6088521303
3801;Today's Fresh Start Charter;SBE - Today's Fresh Start Char;-1.0725656173;Reeds Creek ;Reeds Creek ;-0.4028038382
5644;St. HOPE Public School 7;Sacramento City Unified;-2.1093959678;Avenal ;Reef-Sunset Unified;-3.3187253109
5645;Sol Aureus College Preparatory;Sacramento City Unified;-1.8960576005;Tamarack ;Reef-Sunset Unified;-2.059605277
5651;Aspire Capitol Heights Academy;Sacramento City Unified;-1.7354971562;Jackson ;Rescue Union ;-0.9973943993
5652;The Language Academy of Sacramento;Sacramento City Unified;1.4878895618;Rescue ;Rescue Union ;-2.0614067426
5654;California Montessori Project - Capitol;Sacramento City Unified;0.0431226933;Green Valley ;Rescue Union ;0.1344826262
5657;Yav Pem Suab Academy - Preparing for the;Sacramento City Unified;0.0117597668;Charlotte N. Werner ;Rialto Unified;-0.344134095
5665;A. M. Winn ;Sacramento City Unified;-1.1381301968;Nancy R. Kordyak ;Rialto Unified;-1.4151162165
5668;Caleb Greenwood;Sacramento City Unified;0.3521326759;Bemis ;Rialto Unified;1.2625566055
5669;Camellia ;Sacramento City Unified;-3.9846938294;Dunn ;Rialto Unified;-0.3850815815
5670;Caroline Wenzel ;Sacramento City Unified;-1.0956725031;Henry ;Rialto Unified;-0.8095523683
5673;David Lubin ;Sacramento City Unified;0.979895701;Morgan ;Rialto Unified;-1.2037584425
5681;Hollywood Park ;Sacramento City Unified;-1.384131065;Myers ;Rialto Unified;-1.6010684745
5682;Hubert H. Bancroft ;Sacramento City Unified;-0.4045321351;Preston ;Rialto Unified;-0.5777257178
5683;Isador Cohen ;Sacramento City Unified;0.4721677616;Trapp ;Rialto Unified;-0.5097997226
5686;John Cabrillo ;Sacramento City Unified;-1.932853489;Helen L. Dollahan ;Rialto Unified;-1.2904719721
5688;Alice Birney Waldorf-Inspired K-8;Sacramento City Unified;-1.474142691;Samuel W. Simpson ;Rialto Unified;-1.3376471548
5692;Mark Twain ;Sacramento City Unified;-1.8596011263;Elizabeth T. Hughbanks ;Rialto Unified;-1.6983023641
5694;O. W. Erlewine ;Sacramento City Unified;0.7865753747;Georgia Morris ;Rialto Unified;-1.2090643923
5699;Phoebe A. Hearst ;Sacramento City Unified;-2.6699405482;Edward Fitzgerald ;Rialto Unified;-0.8990214015
5700;Pony Express ;Sacramento City Unified;1.0519499791;Ernest Garcia ;Rialto Unified;0.067540028
5701;Crocker/Riverside ;Sacramento City Unified;-1.7806608004;Sam V. Curtis ;Rialto Unified;-0.9520834639
5702;Sequoia ;Sacramento City Unified;0.3698789314;Richfield ;Richfield ;1.0228873559
5703;Sutterville ;Sacramento City Unified;-1.3089395751;Sequoia ;Richland Union ;1.2387175688
5704;Tahoe ;Sacramento City Unified;0.7914952219;Redwood ;Richland Union ;0.2359919987
5705;Theodore Judah ;Sacramento City Unified;0.5379562008;Golden Oak ;Richland Union ;-3.9753115019
5706;William Land ;Sacramento City Unified;-1.2190280013;Lake Arrowhead ;Rim of the World Unified;-0.6538771394
5712;Leonardo Da Vinci;Sacramento City Unified;2.5232730912;Charles Hoffman ;Rim of the World Unified;-1.0392722209
5719;James Marshall ;Sacramento City Unified;-0.8310345512;Valley of Enchantment ;Rim of the World Unified;0.5962583134
5720;Genevieve Didion;Sacramento City Unified;-0.073430784;Grandview ;Rim of the World Unified;-1.2449641438
5722;Golden Empire ;Sacramento City Unified;-0.5449144636;Rincon Valley Charter;Rincon Valley Union ;0.6742641227
5723;Abraham Lincoln ;Sacramento City Unified;-1.8111281383;Madrone ;Rincon Valley Union ;1.9072289747
5724;Martin Luther King, Jr.;Sacramento City Unified;-0.9519377593;Spring Creek Matanzas Charter;Rincon Valley Union ;0.3182823613
5726;Matsuyama ;Sacramento City Unified;2.8956777124;Whited  Charter;Rincon Valley Union ;0.7696831404
5521;Fortune;Sacramento County Office of Ed;-0.2797382965;Sequoia ;Rincon Valley Union ;-0.5764355094
4820;Linda Vista ;Saddleback Valley Unified;1.9342143927;Village  Charter;Rincon Valley Union ;1.3703574794
4821;Olivewood ;Saddleback Valley Unified;0.1191821421;Binkley  Charter;Rincon Valley Union ;-0.5998294065
4822;Ralph A. Gates ;Saddleback Valley Unified;4.5053623278;Rio Del Mar;Rio ;1.1235055056
4824;Valencia ;Saddleback Valley Unified;1.4390919334;Rio Lindo ;Rio ;0.5202558984
4825;Cordillera ;Saddleback Valley Unified;1.9254462614;Rio Plaza ;Rio ;-14.7986033528
4826;Del Cerro ;Saddleback Valley Unified;1.6755689445;Rio Real ;Rio ;-1.1469154604
4828;De Portola ;Saddleback Valley Unified;-1.4421828399;Rio Rosales;Rio ;-0.2932762695
4829;Santiago ;Saddleback Valley Unified;1.8596442365;Rio del Norte;Rio ;-0.7354952732
4830;Montevideo ;Saddleback Valley Unified;1.1706823897;Rio Bravo ;Rio Bravo-Greeley Union ;1.6398491079
4831;Glen Yermo ;Saddleback Valley Unified;0.7171466794;Eagle Prairie ;Rio Dell ;0.0122930505
4832;Lomarena ;Saddleback Valley Unified;1.2770398736;Park View ;Ripon Unified;0.6196296672
4833;San Joaquin ;Saddleback Valley Unified;-0.056598733;Ripon ;Ripon Unified;-0.2906355929
4835;Rancho Canada ;Saddleback Valley Unified;2.6356300655;Ripona ;Ripon Unified;2.8283644396
4836;La Madera ;Saddleback Valley Unified;1.5181078375;Weston ;Ripon Unified;0.289308021
4837;Del Lago ;Saddleback Valley Unified;4.1623923195;Colony Oak ;Ripon Unified;0.7386086518
4838;Trabuco Mesa ;Saddleback Valley Unified;1.31939045;Delta  Charter;River Delta Joint Unified;-0.4557371574
4839;Cielo Vista ;Saddleback Valley Unified;2.4582983143;Isleton ;River Delta Joint Unified;0.3682739153
4840;Lake Forest ;Saddleback Valley Unified;2.7410379188;D. H. White ;River Delta Joint Unified;1.1470341463
4841;Portola Hills ;Saddleback Valley Unified;-0.49011382;Riverbank Language Academy;Riverbank Unified;-0.8515511717
4843;Robinson ;Saddleback Valley Unified;-0.1726072215;Mesa Verde ;Riverbank Unified;1.0198391344
4844;Foothill Ranch ;Saddleback Valley Unified;-1.0476488773;California Avenue ;Riverbank Unified;-1.3194854176
4845;Melinda Heights ;Saddleback Valley Unified;0.180860119;River Springs Charter;Riverside County Office of Education;-4.5136556327
4294;Saint Helena ;Saint Helena Unified;1.4918454087;Riverside County Special Education;Riverside County Office of Education;-11.9287366293
4295;Saint Helena Primary;Saint Helena Unified;3.23040348;Lake Mathews ;Riverside Unified;-1.5916436768
8773;Salida ;Salida Union ;1.147699256;Mark Twain ;Riverside Unified;-0.7427164665
8774;Sisk ;Salida Union ;-0.7818396451;Patricia Beatty ;Riverside Unified;0.9012373634
8775;Dena Boer;Salida Union ;-1.0065947332;REACH Leadership Academy;Riverside Unified;0.9131927751
4194;Boronda Meadows;Salinas City ;1.0979282782;Adams ;Riverside Unified;-0.3943297566
4195;El Gabilan ;Salinas City ;-0.3603210757;Alcott ;Riverside Unified;3.0432592248
4196;Henry F. Kammann ;Salinas City ;-0.7298896508;Bryant ;Riverside Unified;3.7992434052
4197;Lincoln ;Salinas City ;-1.154324054;Castle View ;Riverside Unified;2.1100890648
4198;Loma Vista ;Salinas City ;-0.8580802107;Emerson ;Riverside Unified;0.9789852999
4199;Los Padres ;Salinas City ;2.5745341836;Fremont ;Riverside Unified;-1.0235927888
4200;Mission Park ;Salinas City ;1.9224848498;Harrison ;Riverside Unified;-0.5963222285
4201;Monterey Park ;Salinas City ;1.6516154548;Hawthorne ;Riverside Unified;-1.7491057615
4205;University Park ;Salinas City ;-0.4069389381;Highgrove ;Riverside Unified;0.0467504743
4206;Laurel Wood ;Salinas City ;-0.2806758208;Highland ;Riverside Unified;1.1863369487
4218;San Antonio ;San Antonio Union ;0.0223556169;Jackson ;Riverside Unified;-1.1639662357
6224;Casa Ramona Academy for Technology, Comm;San Bernardino City Unified;-2.1871024339;Jefferson ;Riverside Unified;0.0984113462
6227;SOAR Charter Academy;San Bernardino City Unified;-0.0421638558;Liberty ;Riverside Unified;-0.1986320678
6242;Ramona-Alessandro ;San Bernardino City Unified;3.0779636523;Madison ;Riverside Unified;-1.1313301717
6245;Belvedere ;San Bernardino City Unified;-0.7927036045;Magnolia ;Riverside Unified;0.0203669196
6254;Hillside ;San Bernardino City Unified;-2.3748525778;Monroe ;Riverside Unified;0.2154163659
6256;Kendall ;San Bernardino City Unified;0.8956160021;Mountain View ;Riverside Unified;2.1164985467
6268;Parkside ;San Bernardino City Unified;-0.7520922604;Pachappa ;Riverside Unified;-0.4126818088
6272;Thompson ;San Bernardino City Unified;-0.5494960007;Victoria ;Riverside Unified;0.7778075619
6283;Kimbark ;San Bernardino City Unified;-1.0563935585;Washington ;Riverside Unified;2.0950222577
6284;North Park ;San Bernardino City Unified;2.4615201005;Woodcrest ;Riverside Unified;-2.3831741618
6286;Oehl ;San Bernardino City Unified;1.9536401605;William Howard Taft ;Riverside Unified;0.7347342228
6290;North Verdemont ;San Bernardino City Unified;-0.0718094183;Benjamin Franklin ;Riverside Unified;-0.6818921593
6291;Palm Avenue ;San Bernardino City Unified;-0.5669166168;Tomas Rivera ;Riverside Unified;-0.1296982592
5899;Norton Space and Aeronautics Academy;San Bernardino County Office o;1.7024023965;John F. Kennedy ;Riverside Unified;0.4512965477
5904;San Bernardino County Special Education;San Bernardino County Office o;-5.4768334289;Roberts Ferry Union ;Roberts Ferry Union ;-1.3128144414
7623;Portola ;San Bruno Park ;-0.7559799502;Bell Avenue ;Robla ;-0.4692421962
7624;Belle Air ;San Bruno Park ;-1.4822508159;Main Avenue ;Robla ;0.6876157666
7625;Crestmoor ;San Bruno Park ;1.308386812;Robla ;Robla ;-0.0999824111
7626;Allen (Decima M.) ;San Bruno Park ;-0.0705775331;Taylor Street ;Robla ;0.809086137
7627;El Crystal ;San Bruno Park ;-0.6329901329;Rockford ;Rockford ;-0.9517429781
7628;John Muir ;San Bruno Park ;-1.6456144241;Ruhkala ;Rocklin Unified;-2.3891466825
7630;Rollingwood ;San Bruno Park ;1.1033041775;Maria Montessori Charter Academy;Rocklin Unified;-1.191118898
7633;Brittan Acres ;San Carlos ;0.9477994166;Sunset Ranch ;Rocklin Unified;0.7953178293
7635;Heather ;San Carlos ;1.3940173947;Parker Whitney ;Rocklin Unified;0.2352666144
6423;Literacy First Charter;San Diego County Office of Edu;-1.5536766396;Rocklin ;Rocklin Unified;4.9824042551
6722;Learning Choice Academy;San Diego Unified;-1.5968048797;Cobblestone ;Rocklin Unified;-2.2857376742
6736;Porter ;San Diego Unified;-2.837183439;Antelope Creek ;Rocklin Unified;-1.9803838149
6755;Urban Discovery Academy Charter;San Diego Unified;1.5398601892;Breen ;Rocklin Unified;-1.0043189277
6756;Innovations Academy;San Diego Unified;0.1524684103;Twin Oaks ;Rocklin Unified;-0.2882939775
6765;Old Town Academy K-8 Charter;San Diego Unified;0.335052134;Valley View ;Rocklin Unified;0.7142204513
6770;John Muir;San Diego Unified;1.268504256;Sierra ;Rocklin Unified;0.8817331112
6792;Alcott ;San Diego Unified;-2.1569627643;Rock Creek ;Rocklin Unified;1.5164533569
6793;Angier ;San Diego Unified;-2.9700238829;Mesa View ;Romoland ;-0.6178442919
6797;Barnard ;San Diego Unified;-2.3909979763;Boulder Ridge ;Romoland ;-1.8752056689
6798;Bay Park ;San Diego Unified;-0.8223980851;Harvest Valley ;Romoland ;-0.9572704415
6801;Birney ;San Diego Unified;-0.266295055;American ;Rosedale Union ;0.5848130761
6804;Cabrillo ;San Diego Unified;-1.1802750515;Rosedale-North ;Rosedale Union ;-1.2656030247
6805;Cadman ;San Diego Unified;2.525096013;Centennial ;Rosedale Union ;1.9591533854
6809;Chesterton ;San Diego Unified;-2.6702528097;Del Rio ;Rosedale Union ;-0.560327915
6812;Crown Point ;San Diego Unified;-1.9151158893;Almondale ;Rosedale Union ;-1.0568126725
6813;Cubberley ;San Diego Unified;-0.4595960711;Independence ;Rosedale Union ;0.4076689686
6814;Curie ;San Diego Unified;-0.87743994;Patriot ;Rosedale Union ;-1.6742393166
6816;Dewey ;San Diego Unified;-1.5088087708;Roseland Creek ;Roseland;-3.3028042897
6822;Fletcher ;San Diego Unified;-0.9799930147;Roseland ;Roseland;-2.9730957185
6823;Florence ;San Diego Unified;0.2582538107;Emma W. Shuey ;Rosemead ;0.2440416703
6824;Foster ;San Diego Unified;0.3801323739;Encinita ;Rosemead ;1.3880750735
6828;Gage ;San Diego Unified;-0.7602909825;Mildred B. Janson ;Rosemead ;-1.4976069298
6830;Grant K-8;San Diego Unified;-0.1888178323;Savannah ;Rosemead ;0.258207614
6831;Green ;San Diego Unified;-0.7055212376;Thomas Jefferson ;Roseville City ;0.5417413767
6833;Hardy ;San Diego Unified;-0.7158885045;Blue Oaks ;Roseville City ;1.7727743672
6835;Hearst ;San Diego Unified;-1.0410680724;Junction ;Roseville City ;-0.4748881337
6836;Holmes ;San Diego Unified;0.8468071541;Fiddyment Farm;Roseville City ;-0.7460602985
6841;Jones ;San Diego Unified;-0.3026882449;Diamond Creek ;Roseville City ;-1.5293445171
6842;Juarez ;San Diego Unified;-1.9155204898;Stoneridge ;Roseville City ;-1.0025511316
6844;La Jolla ;San Diego Unified;-1.0873571124;George Cirby ;Roseville City ;0.2694099243
6845;Lafayette ;San Diego Unified;1.5139688616;Crestmont ;Roseville City ;-0.3535671832
6848;Lindbergh/Schweitzer ;San Diego Unified;-0.4310536751;William Kaseberg ;Roseville City ;2.2028923495
6850;Loma Portal ;San Diego Unified;1.2525806948;George Sargeant ;Roseville City ;1.7192303981
6851;Longfellow K-8;San Diego Unified;2.5716617325;Ferris Spanger ;Roseville City ;0.9202239491
6854;Marvin ;San Diego Unified;0.4086611007;Vencil Brown ;Roseville City ;-0.1390852885
6855;McKinley ;San Diego Unified;0.7197393181;Catheryn Gates ;Roseville City ;1.8080437765
6856;Language Academy;San Diego Unified;0.6753155805;Manor ;Ross Valley ;2.5323739995
6859;Ocean Beach ;San Diego Unified;-1.7920084855;Round Valley ;Round Valley Joint ;0.7220274815
6860;Pacific Beach ;San Diego Unified;-1.0631071988;Telesis Academy of Science & Math;Rowland Unified;1.1885194173
6862;Perry ;San Diego Unified;-2.176374736;Rowland Heights Charter Academy;Rowland Unified;-2.5308738724
6867;Sequoia ;San Diego Unified;0.423274185;Blandford ;Rowland Unified;0.8692966653
6868;Sessions ;San Diego Unified;-1.2811689593;Hollingworth ;Rowland Unified;-1.8097040877
6870;Silver Gate ;San Diego Unified;-1.6946211006;Jellick ;Rowland Unified;1.1460357484
6871;Spreckels ;San Diego Unified;4.9258272234;Killian ;Rowland Unified;0.1495274277
6873;Sunset View ;San Diego Unified;0.0718174139;Rorimer ;Rowland Unified;-1.0014930999
6874;Toler ;San Diego Unified;0.3171602218;Rowland ;Rowland Unified;-0.1899341005
6875;Torrey Pines ;San Diego Unified;-2.7234538517;Shelyn ;Rowland Unified;0.9236514989
6879;Wegeforth ;San Diego Unified;1.6834187358;Ybarra Academy for the Arts and Technology;Rowland Unified;-0.2700467431
6880;Benchley/Weinberger ;San Diego Unified;-1.4677772026;Stanley G. Oswalt Academy;Rowland Unified;-1.7339355671
6881;Whitman ;San Diego Unified;0.0296686385;High Tech  Chula Vista;SBC - High Tech High;-0.5303148542
6884;Dana;San Diego Unified;3.453736713;High Tech  North County;SBC - High Tech High;-1.3172296344
6896;Miramar Ranch ;San Diego Unified;0.0222200294;Ingenium Charter;SBE - Ingenium Charter;0.8279096125
6897;Mason ;San Diego Unified;-1.5363505974;Ridgecrest Charter;SBE - Ridgecrest Charter;-1.3588917335
6898;Penn ;San Diego Unified;0.3488976456;St. HOPE Public School 7;Sacramento City Unified;-2.9869352503
6899;Ericson ;San Diego Unified;-0.8104292715;Sol Aureus College Preparatory;Sacramento City Unified;0.1896361764
6900;Hickman ;San Diego Unified;-0.2041208683;The Language Academy of Sacramento;Sacramento City Unified;0.7692581501
6901;Sandburg ;San Diego Unified;-0.975575244;California Montessori Project - Capitol Campus;Sacramento City Unified;0.8780767261
6902;Tierrasanta ;San Diego Unified;0.1899041319;Yav Pem Suab Academy - Preparing for the Future Ch;Sacramento City Unified;-0.9944186081
6903;Walker ;San Diego Unified;0.254414865;A. M. Winn Waldorf-Inspired;Sacramento City Unified;-0.1897157833
6904;Miller ;San Diego Unified;-1.520322831;Bowling Green ;Sacramento City Unified;-5.5993178936
6905;Hancock ;San Diego Unified;-3.2241496571;Bret Harte ;Sacramento City Unified;-0.6031226236
6907;Dailard ;San Diego Unified;1.3567528848;Caleb Greenwood ;Sacramento City Unified;0.81564672
6909;Doyle ;San Diego Unified;-1.189531934;Camellia ;Sacramento City Unified;-1.2330730621
6911;Jerabek ;San Diego Unified;-2.1547361219;Caroline Wenzel ;Sacramento City Unified;-1.5696042774
6912;Vista Grande ;San Diego Unified;-3.0820830358;David Lubin ;Sacramento City Unified;0.089238245
6913;Bethune K-8;San Diego Unified;0.6103373897;Earl Warren ;Sacramento City Unified;-1.5819092408
6915;Zamorano ;San Diego Unified;-3.617977699;Edward Kemble ;Sacramento City Unified;0.3597015164
6917;Hage ;San Diego Unified;-1.1667976971;Elder Creek ;Sacramento City Unified;-0.8997186416
6918;Kumeyaay ;San Diego Unified;0.2531317081;Ethel I. Baker ;Sacramento City Unified;-1.8010701689
6920;Dingeman ;San Diego Unified;0.4087273419;Ethel Phillips ;Sacramento City Unified;-0.2368668651
6928;Museum;San Diego Unified;-0.9995313179;H. W. Harkness ;Sacramento City Unified;-2.4564417299
6930;Explorer ;San Diego Unified;3.0410831915;Hollywood Park ;Sacramento City Unified;-1.0768245062
6931;Scripps ;San Diego Unified;1.0006507199;Hubert H. Bancroft ;Sacramento City Unified;0.7477084394
6932;San Diego Cooperative Charter;San Diego Unified;0.0225825185;Isador Cohen ;Sacramento City Unified;1.1912700703
6934;Einstein Academy;San Diego Unified;-2.3267959177;John Bidwell ;Sacramento City Unified;-1.8788865432
7123;Feinstein (Dianne) ;San Francisco Unified;-0.3180781779;John Cabrillo ;Sacramento City Unified;-5.3965248071
7126;Chinese Immersion School at DeAvila;San Francisco Unified;-4.7386788654;John D. Sloat ;Sacramento City Unified;-14.1298061347
7146;Alamo ;San Francisco Unified;-3.7225863579;Alice Birney Waldorf-Inspired;Sacramento City Unified;-5.9745188734
7147;Alvarado ;San Francisco Unified;3.6629754604;Mark Twain ;Sacramento City Unified;-3.9342274543
7148;Argonne ;San Francisco Unified;-1.7073544192;Nicholas ;Sacramento City Unified;-4.797418655
7149;Carmichael (Bessie)/FEC;San Francisco Unified;-0.3290753417;O. W. Erlewine ;Sacramento City Unified;-1.0689117736
7152;Clarendon Alternative ;San Francisco Unified;-1.4424588077;Pacific ;Sacramento City Unified;-2.6596630724
7154;Sloat (Commodore) ;San Francisco Unified;-1.3185823979;Parkway ;Sacramento City Unified;-5.1217764026
7155;Lau (Gordon J.) ;San Francisco Unified;-2.7062819758;Peter Burnett ;Sacramento City Unified;-4.0767477132
7156;Webster (Daniel) ;San Francisco Unified;2.8375380113;Phoebe A. Hearst ;Sacramento City Unified;1.7286335346
7157;Milk (Harvey) Civil Rights ;San Francisco Unified;0.5005818;Pony Express ;Sacramento City Unified;1.7200248354
7158;Edison Charter Academy;San Francisco Unified;-0.7149687011;Crocker/Riverside ;Sacramento City Unified;2.2232390783
7159;Taylor (Edward R.) ;San Francisco Unified;-1.4729813464;Sequoia ;Sacramento City Unified;-0.8399984751
7160;El Dorado ;San Francisco Unified;0.368574218;Sutterville ;Sacramento City Unified;1.3419905105
7161;Cobb (William L.) ;San Francisco Unified;-3.0973060846;Theodore Judah ;Sacramento City Unified;3.2495040154
7162;Fairmount ;San Francisco Unified;3.2850586591;William Land ;Sacramento City Unified;-1.059591014
7163;Key (Francis Scott) ;San Francisco Unified;-2.2367392406;Woodbine ;Sacramento City Unified;-3.181019204
7164;McCoppin (Frank) ;San Francisco Unified;-2.3193391236;Rosa Parks ;Sacramento City Unified;-3.263906092
7165;Garfield ;San Francisco Unified;-2.6253729255;Leonardo Da Vinci;Sacramento City Unified;1.9760726296
7166;Peabody (George) ;San Francisco Unified;2.5754761701;John H. Still;Sacramento City Unified;-3.5295390221
7167;Glen Park ;San Francisco Unified;1.2572892767;Susan B. Anthony ;Sacramento City Unified;-1.5586012202
7168;Grattan ;San Francisco Unified;0.0352730247;James Marshall ;Sacramento City Unified;-2.0443488189
7169;Guadalupe ;San Francisco Unified;-1.7634887754;Genevieve Didion;Sacramento City Unified;-1.33156882
7170;Yick Wo ;San Francisco Unified;-1.6202066477;Golden Empire ;Sacramento City Unified;-1.4763691105
7172;Hillcrest ;San Francisco Unified;-1.2967027843;Abraham Lincoln ;Sacramento City Unified;-1.1592928993
7173;Parker (Jean) ;San Francisco Unified;-1.0480187518;Martin Luther King, Jr.;Sacramento City Unified;-0.6369899886
7174;Jefferson ;San Francisco Unified;-3.2435510773;Father Keith B. Kenny;Sacramento City Unified;-3.044723295
7176;Ortega (Jose) ;San Francisco Unified;0.2861069805;Matsuyama ;Sacramento City Unified;1.004470953
7178;Lafayette ;San Francisco Unified;-0.3958279827;Cesar Chavez Intermediate;Sacramento City Unified;-2.1693486337
7179;Lakeshore Alternative ;San Francisco Unified;-1.0607036286;Fortune;Sacramento County Office of Education;-1.504015876
7180;Lawton Alternative ;San Francisco Unified;-5.9536265366;Linda Vista ;Saddleback Valley Unified;2.5790994161
7181;Flynn (Leonard R.) ;San Francisco Unified;4.5529890749;Olivewood ;Saddleback Valley Unified;0.2588109319
7182;Longfellow ;San Francisco Unified;0.2080866885;Ralph A. Gates ;Saddleback Valley Unified;5.6109357888
7183;Marshall ;San Francisco Unified;3.0980367779;Valencia ;Saddleback Valley Unified;4.1333065563
7184;McKinley ;San Francisco Unified;1.6886528102;Cordillera ;Saddleback Valley Unified;2.7574634575
7185;Miraloma ;San Francisco Unified;2.6770375233;Del Cerro ;Saddleback Valley Unified;0.8948342945
7186;Monroe ;San Francisco Unified;0.9372652081;De Portola ;Saddleback Valley Unified;0.0260537059
7187;Revere (Paul) ;San Francisco Unified;0.8596119044;Santiago ;Saddleback Valley Unified;2.6995951322
7188;Parks (Rosa) ;San Francisco Unified;2.258093054;Montevideo ;Saddleback Valley Unified;1.0345121988
7190;Stevenson (Robert Louis) ;San Francisco Unified;-3.7402478149;Glen Yermo ;Saddleback Valley Unified;-0.2117127177
7193;Sherman ;San Francisco Unified;-3.5536888288;Lomarena ;Saddleback Valley Unified;1.9111508034
7195;Spring Valley ;San Francisco Unified;1.1779821315;San Joaquin ;Saddleback Valley Unified;-0.9603209463
7196;King (Starr) ;San Francisco Unified;2.9247690765;Rancho Canada ;Saddleback Valley Unified;2.0927774611
7197;Sunnyside ;San Francisco Unified;0.5712954338;La Madera ;Saddleback Valley Unified;5.1722613643
7198;Sutro ;San Francisco Unified;-1.8794432071;Del Lago ;Saddleback Valley Unified;1.8210667771
7199;Ulloa ;San Francisco Unified;-5.2121148417;Trabuco Mesa ;Saddleback Valley Unified;1.6534399751
7200;Visitacion Valley ;San Francisco Unified;-1.6524873668;Cielo Vista ;Saddleback Valley Unified;3.3034043476
7201;West Portal ;San Francisco Unified;-4.1484909106;Lake Forest ;Saddleback Valley Unified;1.7179902162
7211;Buena Vista/ Horace Mann K-8;San Francisco Unified;2.763247123;Portola Hills ;Saddleback Valley Unified;0.9158526195
7217;Rooftop ;San Francisco Unified;2.5208987702;Robinson ;Saddleback Valley Unified;0.9959399448
7218;San Francisco Community Alternative;San Francisco Unified;0.7049742765;Foothill Ranch ;Saddleback Valley Unified;0.7621950962
7220;New Traditions ;San Francisco Unified;3.4844913982;Melinda Heights ;Saddleback Valley Unified;1.4553555542
7222;Lilienthal (Claire) ;San Francisco Unified;0.4302258474;Saint Helena ;Saint Helena Unified;1.9529520452
7224;Creative Arts Charter;San Francisco Unified;1.6420254019;Salida ;Salida Union ;-0.9557904343
7225;Yu (Alice Fong) ;San Francisco Unified;-4.0374625651;Sisk ;Salida Union ;-1.1178592623
7227;Sunset ;San Francisco Unified;-0.7233215219;Dena Boer;Salida Union ;-2.1294210645
3751;Coolidge ;San Gabriel Unified;-1.3405244617;Boronda Meadows;Salinas City ;-0.2649099172
3753;McKinley ;San Gabriel Unified;-0.878612828;El Gabilan ;Salinas City ;-0.9035568885
3755;Washington ;San Gabriel Unified;-0.0195563218;Henry F. Kammann ;Salinas City ;-0.7945402447
3756;Wilson ;San Gabriel Unified;-0.8186395425;Lincoln ;Salinas City ;-3.8929317175
5390;Estudillo ;San Jacinto Unified;-1.4490037325;Los Padres ;Salinas City ;0.6953201346
5391;Clayton A. Record, Jr., ;San Jacinto Unified;-1.1280839298;Mission Park ;Salinas City ;0.439070481
5392;Megan Cope ;San Jacinto Unified;-2.2373174302;Monterey Park ;Salinas City ;-1.5934933139
5399;De Anza ;San Jacinto Unified;-0.2467876604;University Park ;Salinas City ;-4.6449830339
5400;Park Hill ;San Jacinto Unified;-0.0953827487;Laurel Wood ;Salinas City ;-0.5317145687
5401;San Jacinto Valley Academy;San Jacinto Unified;-2.7047784688;San Antonio ;San Antonio Union ;1.0625248744
7233;San Joaquin County Special Education;San Joaquin County Office of E;-2.6086387565;SOAR Charter Academy;San Bernardino City Unified;-0.2289417857
8101;Allen at Steinbeck;San Jose Unified;1.5890576149;Belvedere ;San Bernardino City Unified;-0.4955445489
8103;Anne Darling ;San Jose Unified;-0.740662219;Hillside ;San Bernardino City Unified;-0.9357044456
8104;Booksin ;San Jose Unified;-1.0869228804;Highland Pacific ;San Bernardino City Unified;1.3675117665
8105;Canoas ;San Jose Unified;0.2062813475;Parkside ;San Bernardino City Unified;-0.8832346522
8107;Gardner ;San Jose Unified;1.0079215704;Thompson ;San Bernardino City Unified;-0.2333220699
8109;Hammer Montessori at Galarza ;San Jose Unified;-0.4879294912;Kimbark ;San Bernardino City Unified;0.3755805607
8110;Horace Mann ;San Jose Unified;3.6842377565;North Park ;San Bernardino City Unified;0.123860875
