sname;sname;dname;z
2269;Walt Disney ;Burbank Unified;0.1687737917
2270;Thomas Edison ;Burbank Unified;0.7144938649
2271;Ralph Emerson ;Burbank Unified;1.3405718307
2272;Bret Harte ;Burbank Unified;2.31516269
2273;Thomas Jefferson ;Burbank Unified;1.4727682105
2274;William McKinley ;Burbank Unified;1.2760468461
2275;Joaquin Miller ;Burbank Unified;-0.5801887807
2276;Providencia ;Burbank Unified;2.7684536487
2277;Theodore Roosevelt ;Burbank Unified;-0.2689913705
2278;R. L. Stevenson ;Burbank Unified;-0.057472748
2279;George Washington ;Burbank Unified;-0.1913911094
8628;Franklin ;Burlingame ;-0.4726703414
8629;Lincoln ;Burlingame ;3.1308963975
8630;McKinley ;Burlingame ;0.1150670254
8631;Roosevelt ;Burlingame ;3.6516710022
8632;Washington ;Burlingame ;2.8002447699
10324;Burnt Ranch ;Burnt Ranch ;-1.8606619733
10371;Summit Charter Academy;Burton ;-0.1035328877
10374;Burton ;Burton ;-2.2814053808
10376;Oak Grove ;Burton ;-1.8384937097
10377;William R. Buckley ;Burton ;-1.7791270889
10378;Jim Maples Academy;Burton ;-0.9866936237
9659;Butte Valley ;Butte Valley Unified;1.3421414389
9606;Butteville ;Butteville Union ;0.2571010409
634;Vista Oaks Charter;Byron Union ;-4.4268079579
636;Discovery Bay ;Byron Union ;0.5748090746
637;Timber Point ;Byron Union ;-0.2668008945
8636;Alvin S. Hatch ;Cabrillo Unified;6.4609139646
8637;El Granada ;Cabrillo Unified;3.4125339314
8638;Farallone View ;Cabrillo Unified;6.1801305078
8640;Manuel F. Cunha Intermediate;Cabrillo Unified;6.5918577275
7370;EJE  Academy Charter;Cajon Valley Union;0.9388741171
7373;Anza ;Cajon Valley Union;-5.8190606693
7374;Bostonia ;Cajon Valley Union;-0.4725517125
7376;Chase Avenue ;Cajon Valley Union;-4.2500465951
7377;Crest ;Cajon Valley Union;0.2519831255
7379;Flying Hills ;Cajon Valley Union;0.898378917
7380;Fuerte ;Cajon Valley Union;0.4794826012
7383;Lexington ;Cajon Valley Union;-4.2771587535
7384;Madison Avenue ;Cajon Valley Union;-1.7523057612
7385;Magnolia ;Cajon Valley Union;-5.4568172433
